date,preclose,open,high,low,close,volume,amount,chg,chg.per
20100126,4481.16,4467.521,4492.645,4254.323,4294.383,4152028200,47467846100,-186.777,-4.1681
20100127,4294.383,4290.736,4344.132,4229.517,4267.113,3292415200,37930581719,-27.27,-0.635
20100128,4267.113,4266.056,4340.409,4249.771,4336.381,3212733000,37413687580,69.268,1.6233
20100129,4336.381,4316.237,4418.402,4298.654,4374.649,3988806500,46920870245,38.268,0.8825
20100201,4374.649,4366.489,4372.572,4269.33,4331.366,4309502900,50119156209,-43.283,-0.9894
20100202,4331.366,4344.037,4388.351,4296.883,4301.768,3853250500,45419432144,-29.598,-0.6833
20100203,4301.768,4299.966,4363.668,4160.352,4363.079,4852667900,55363883385,61.311,1.4253
20100204,4363.079,4342.68,4445.754,4316.813,4408.441,5187378200,60009178101,45.362,1.0397
20100205,4408.441,4312.549,4382.344,4270.71,4311.293,4967040500,57329452739,-97.148,-2.2037
20100208,4311.293,4299.251,4330.204,4279.662,4310.894,3194607600,36140917706,-0.399,-0.0093
20100209,4310.894,4300.32,4334.343,4284.517,4311.891,2989657900,33051109745,0.997,0.0231
20100210,4311.891,4333.854,4366.495,4326.019,4366.25,2589719600,30362057461,54.359,1.2607
20100211,4366.25,4367.721,4385.197,4352.114,4356.517,2448541000,28560427556,-9.733,-0.2229
20100212,4356.517,4365.619,4418.539,4365.477,4416.219,2451137900,29321018550,59.702,1.3704
20100222,4416.219,4412.553,4457.223,4401.057,4419.547,3146942600,36942577664,3.328,0.0754
20100223,4419.547,4414.055,4459.726,4352.442,4459.155,3884211000,44895645491,39.608,0.8962
20100224,4459.155,4438.395,4556.723,4419.452,4556.281,4802456800,55266251401,97.126,2.1781
20100225,4556.281,4565.744,4632.97,4564.024,4629.965,5551941000,65857348240,73.684,1.6172
20100226,4629.965,4618.639,4656.927,4602.016,4634.671,4953052200,58905069146,4.706,0.1016
20100301,4634.671,4635.953,4692.833,4635.953,4686.266,5386243700,63522641661,51.595,1.1132
20100302,4686.266,4692.606,4705.16,4660.166,4690.293,5662886100,67693532034,4.027,0.0859
20100303,4690.293,4690.436,4761.577,4680.311,4758.434,6357355100,76878302413,68.141,1.4528
20100304,4758.434,4763.637,4780.016,4572.07,4586.523,6847070600,81551643706,-171.911,-3.6128
20100305,4586.523,4590.886,4632.04,4550.096,4604.586,5237147600,58748521383,18.063,0.3938
20100308,4604.586,4618.857,4665.061,4612.218,4654.583,4503946900,51555326555,49.997,1.0858
20100309,4654.583,4653.062,4674.509,4607.864,4660.126,4721442900,54504639852,5.543,0.1191
20100310,4660.126,4659.5,4674.064,4564.431,4598.994,4479955900,51947965691,-61.132,-1.3118
20100311,4598.994,4594.501,4608.643,4519.026,4562.872,3756111800,43582882845,-36.122,-0.7854
20100312,4562.872,4561.609,4575.996,4489.534,4492.861,3540021200,40963844068,-70.011,-1.5344
20100315,4492.861,4485.875,4498.103,4426.189,4454.76,2992878000,35313782723,-38.101,-0.848
20100316,4454.76,4453.812,4492.04,4426.607,4491.465,2766447600,31934260836,36.705,0.824
20100317,4491.465,4500.427,4616.109,4500.255,4616.053,4436945300,52355111027,124.588,2.7739
20100318,4616.053,4627.998,4653.681,4605.912,4630.953,4979134700,58490410433,14.9,0.3228
20100319,4630.953,4632.05,4665.909,4609.013,4663.903,4641554600,54392696725,32.95,0.7115
20100322,4663.903,4669.413,4695.082,4649.531,4690.198,4720032000,55746635882,26.295,0.5638
20100323,4690.198,4690.273,4697.727,4642.975,4658.626,4704866700,56747738471,-31.572,-0.6731
20100324,4658.626,4662.987,4692.318,4662.536,4683.065,4744276700,58070206071,24.439,0.5246
20100325,4683.065,4675.222,4675.222,4609.165,4620.749,4895411600,58843594784,-62.316,-1.3307
20100326,4620.749,4609.752,4693.762,4601.691,4686.931,4521928200,54648704925,66.182,1.4323
20100329,4686.931,4701.789,4723.745,4682.409,4723.611,5028323800,61333700646,36.68,0.7826
20100330,4723.611,4720.577,4748.908,4708.428,4744.423,4734372300,59814493818,20.812,0.4406
20100331,4744.423,4744.344,4757.316,4726.518,4756.157,4910827600,61722494941,11.734,0.2473
20100401,4756.157,4756.298,4828.103,4755.933,4827.214,6187885700,77731513271,71.057,1.494
20100402,4827.214,4833.81,4851.938,4820.065,4843.175,5943194600,71673137978,15.961,0.3306
20100406,4843.175,4853.328,4862.168,4814.252,4852.904,5739705000,70803392480,9.729,0.2009
20100407,4852.904,4851.831,4865.753,4829.017,4863.639,5328918600,66073839435,10.735,0.2212
20100408,4863.639,4856.411,4881.907,4845.605,4864.922,5717551000,72568496777,1.283,0.0264
20100409,4864.922,4866.519,4939.408,4866.243,4939.176,5841922500,76192583994,74.254,1.5263
20100412,4939.176,4948.103,4976.832,4932.626,4976.38,7228171800,93471806749,37.204,0.7532
20100413,4976.38,4977.757,4993.367,4793.284,4919.873,7346944300,96503261576,-56.507,-1.1355
20100414,4919.873,4910.701,4978.269,4896.573,4977.508,5620229100,72485869902,57.635,1.1715
20100415,4977.508,4975.078,4984.356,4879.912,4914.747,5425112300,70016667931,-62.761,-1.2609
20100416,4914.747,4900.6,4936.876,4852.407,4898.67,4304573700,54086011852,-16.077,-0.3271
20100419,4898.67,4850.863,4880.535,4688.12,4688.836,5827744700,70792701720,-209.834,-4.2835
20100420,4688.836,4680.197,4750.489,4607.2,4749.934,5271907300,65798537949,61.098,1.3031
20100421,4749.934,4753.118,4896.661,4747.387,4893.978,6395338500,83273716552,144.044,3.0325
20100422,4893.978,4881.255,4950.494,4849.557,4902.405,6599520800,86324588204,8.427,0.1722
20100423,4902.405,4892.037,4936.731,4840.168,4864.164,5576390000,73051083018,-38.241,-0.78
20100426,4864.164,4868.725,4904.97,4847.913,4866.553,4851045000,64127112047,2.389,0.0491
20100427,4866.553,4852.193,4852.193,4645.159,4739.269,5371586700,66704700199,-127.284,-2.6155
20100428,4739.269,4682.326,4767.801,4652.872,4714.432,4431985800,55910745931,-24.837,-0.5241
